"ε/E = 1.00e+002"
4.932001 -9.128137e-002 1.644424e+001
4.944001 -8.980552e-002 1.636451e+001
4.956001 -8.835961e-002 1.628535e+001
4.968001 -8.694289e-002 1.620678e+001
4.980001 -8.555461e-002 1.612877e+001
4.992001 -8.419405e-002 1.605132e+001
5.004001 -8.286053e-002 1.597442e+001
5.016001 -8.155337e-002 1.589808e+001
5.028001 -8.027192e-002 1.582229e+001
5.040001 -7.901555e-002 1.574703e+001
5.052001 -7.778363e-002 1.567231e+001
5.064001 -7.657559e-002 1.559813e+001
5.076001 -7.539084e-002 1.552446e+001
5.088001 -7.422883e-002 1.545132e+001
5.100001 -7.308901e-002 1.537869e+001
5.112001 -7.197087e-002 1.530658e+001
5.124001 -7.087388e-002 1.523497e+001
5.136001 -6.979755e-002 1.516386e+001
5.148001 -6.874140e-002 1.509325e+001
5.160001 -6.770497e-002 1.502313e+001
5.172001 -6.668780e-002 1.495350e+001
5.184001 -6.568945e-002 1.488435e+001
5.196001 -6.470949e-002 1.481568e+001
5.208001 -6.374750e-002 1.474748e+001
5.220001 -6.280308e-002 1.467976e+001
5.232001 -6.187584e-002 1.461249e+001
5.244001 -6.096539e-002 1.454569e+001
5.256001 -6.007136e-002 1.447935e+001
5.268001 -5.919339e-002 1.441346e+001
5.280001 -5.833113e-002 1.434802e+001
5.292001 -5.748422e-002 1.428302e+001
5.304001 -5.665234e-002 1.421847e+001
5.316001 -5.583517e-002 1.415435e+001
5.328001 -5.503238e-002 1.409066e+001
5.340001 -5.424367e-002 1.402740e+001
5.352001 -5.346874e-002 1.396457e+001
5.364001 -5.270730e-002 1.390216e+001
5.376001 -5.195905e-002 1.384017e+001
5.388001 -5.122373e-002 1.377859e+001
5.400001 -5.050106e-002 1.371742e+001
5.412001 -4.979078e-002 1.365665e+001
5.424001 -4.909263e-002 1.359629e+001
5.436001 -4.840636e-002 1.353633e+001
5.448001 -4.773173e-002 1.347676e+001
5.460001 -4.706849e-002 1.341759e+001
5.472001 -4.641643e-002 1.335881e+001
5.484001 -4.577530e-002 1.330041e+001
5.496001 -4.514489e-002 1.324239e+001
5.508001 -4.452498e-002 1.318475e+001
5.520001 -4.391537e-002 1.312749e+001
5.532001 -4.331584e-002 1.307060e+001
5.544001 -4.272619e-002 1.301408e+001
5.556001 -4.214624e-002 1.295792e+001
5.568001 -4.157579e-002 1.290213e+001
5.580001 -4.101465e-002 1.284670e+001
5.592001 -4.046264e-002 1.279162e+001
5.604001 -3.991958e-002 1.273690e+001
5.616001 -3.938530e-002 1.268252e+001
5.628001 -3.885963e-002 1.262850e+001
5.640001 -3.834240e-002 1.257482e+001
5.652001 -3.783346e-002 1.252148e+001
5.664001 -3.733264e-002 1.246848e+001
5.676001 -3.683978e-002 1.241581e+001
5.688001 -3.635474e-002 1.236348e+001
5.700001 -3.587737e-002 1.231148e+001
5.712001 -3.540753e-002 1.225980e+001
5.724001 -3.494506e-002 1.220845e+001
5.736001 -3.448985e-002 1.215742e+001
5.748001 -3.404174e-002 1.210672e+001
5.760001 -3.360061e-002 1.205632e+001
5.772001 -3.316633e-002 1.200624e+001
5.784001 -3.273877e-002 1.195648e+001
5.796001 -3.231782e-002 1.190702e+001
5.808001 -3.190333e-002 1.185787e+001
5.820001 -3.149521e-002 1.180902e+001
5.832001 -3.109334e-002 1.176047e+001
5.844001 -3.069759e-002 1.171223e+001
5.856001 -3.030787e-002 1.166427e+001
5.868001 -2.992405e-002 1.161662e+001
5.880001 -2.954605e-002 1.156925e+001
5.892001 -2.917374e-002 1.152217e+001
5.904001 -2.880704e-002 1.147538e+001
5.916001 -2.844583e-002 1.142888e+001
5.928001 -2.809003e-002 1.138265e+001
5.940001 -2.773953e-002 1.133671e+001
5.952001 -2.739425e-002 1.129104e+001
5.964001 -2.705409e-002 1.124565e+001
5.976001 -2.671897e-002 1.120053e+001
5.988001 -2.638879e-002 1.115569e+001


"ε/E = 2.00e+001"
